NODE_ID,ARS-ID,정류소명,좌표X,좌표Y
100000143,01239,숭인1동주민센터.창신역4번출구,127.0152404443,37.5787517073
100000144,01240,동묘역.롯데캐슬천지인,127.0156640117,37.5741819196
100000147,01243,신설동로터리,127.0229468784,37.5758561421
100000364,01245,동묘앞,127.017840741,37.5736846482
100000150,01246,구기동현대빌라,126.9565956763,37.609642432
100000151,01247,광장시장,126.9978384311,37.5695021129
100000153,01249,혜화경찰서,126.9975710333,37.5725842353
100000154,01250,서울역사박물관.김구집무실(경교장),126.9721427974,37.5700297892
100000155,01251,청계3가.관수교,126.9937893395,37.5686091615
100000156,01252,청계6가.버들다리,127.0080442227,37.5698382937
100000157,01253,청계7가.맑은내다리,127.0129568654,37.5699186017
100000158,01254,청계8가.영도교,127.0182740454,37.5708946343
100000159,01256,원남동사거리,126.9982123686,37.5757861716
100000165,01262,숭인동,127.0203787429,37.5743812645
100000169,01267,조계사,126.9830466419,37.5727970374
100000174,01272,세종문화회관,126.9766820992,37.5733428706
100000179,01277,이화동(이화장),127.0029997189,37.5761871952
100000180,01278,상명대정문,126.9550658958,37.6016661222
100000181,01279,이북오도청,126.9558929899,37.6130517492
100000188,01286,상명대입구.세검정교회,126.9597659183,37.5993933923
100000189,01287,상명대입구.석파랑,126.9583524446,37.5997667554
100000190,01288,종로중부새마을금고,127.006501742,37.5723926096
100000191,01289,신설동로터리.신한은행앞.서울풍물시장,127.0232019754,37.5743885428
100000192,01291,청계2가.삼일교,126.9872038194,37.5682710519
100000193,01292,청계8가.황학교,127.0227587436,37.5720242074
100000355,01293,평창동삼성아파트,126.9784,37.611041
100000370,01294,안국역.인사동,126.9854590464,37.5764424624
100000369,01295,안국역.서울공예박물관,126.9848481735,37.5763115855
100000371,01296,창덕궁,126.9890017091,37.5773032332
100000413,01297,남인사마당,126.9875496939,37.5713121046
100900047,01500,평창파출소,126.9668406523,37.6056506192
100900178,01501,삼청공원,126.9816830935,37.5882052194
100900041,01502,수성동계곡,126.9642468056,37.582079256
100900040,01503,명륜3가종점,126.9928619763,37.5909474119
100900197,01504,명륜새마을금고,126.9966600117,37.5876636376
100900044,01505,서대문3번출구,126.96617073,37.5663869527
100900039,01506,낙산공원,127.0087266593,37.5804315002
100900037,01507,인사미술공간.세탁소,126.9893927673,37.5814087002
100900036,01508,화정박물관,126.9648998631,37.6047771434
100900035,01509,금융연수원,126.9816318175,37.5865972134
100900034,01510,박노수미술관,126.9666083377,37.581023839
100900032,01511,샘미용실,126.9932462126,37.5903199403
100900031,01512,서울국제고등학교,126.9972253431,37.5890947727
100900029,01513,화정박물관,126.965247735,37.6050270981
100900188,01514,적십자병원후문앞,126.9651081997,37.5674610509
100900202,01515,서울성곽.성대후문,126.9896241881,37.5893682771
100900026,01516,빨래터.고희동미술관,126.9889777903,37.5830079819
100900025,01517,세검초등학교,126.9613773877,37.6042163468
100900024,01518,삼청동주민센터,126.9819214379,37.5842622386
100900020,01519,통인시장,126.9687475247,37.5804505598
